OrderID,Date,CustomerID,Product,Category,Quantity,UnitPrice
ORD-000001,2023-10-17,CUST-0913,Headphones,Electronics,4,373.66
ORD-000002,2022-03-31,CUST-4838,Yoga Mat,Sports,1,23.12
ORD-000003,2023-10-28,CUST-4465,Dumbbells,Sports,-8,92.5
ORD-000004,2023-12-16,CUST-3463,Vacuum Cleaner,Home & Garden,3,80.29
ORD-000005,2023-01-03,CUST-2818,Lego Set,Toys,1,61.08
ORD-000006,2023-07-20,CUST-2402,Lego Set,Toys,10,23.46
ORD-000007,2022-03-23,CUST-1908,Monitor,Electronics,5,707.44
ORD-000008,2023-11-18,CUST-2188,Tablet,Electronics,3,824.5
ORD-000009,2023-10-18,CUST-4563,Jacket,Clothing,1,39.05
ORD-000010,2022-08-05,CUST-4647,Blender,Home & Garden,8,130.78
ORD-000011,2022-09-10,CUST-4599,Lego Set,Toys,10,39.99
ORD-000012,2022-05-22,CUST-4175,Yoga Mat,Sports,1,130.55
ORD-000013,2023-09-03,CUST-0521,Basketball,Sports,10,149.46
ORD-000014,2022-01-12,CUST-0939,Lego Set,Toys,6,17.81
ORD-000015,2022-09-27,CUST-4101,Hat,Clothing,2,106.4
ORD-000016,2022-06-06,CUST-3064,Hat,Clothing,9,111.44
ORD-000017,2023-01-07,CUST-2520,T-Shirt,Clothing,4,107.19
ORD-000018,2022-03-12,CUST-4364,Jeans,Clothing,8,114.42
ORD-000019,2022-08-05,CUST-4418,Jacket,Clothing,7,119.49
ORD-000020,2022-05-04,CUST-2031,T-Shirt,Clothing,6,
ORD-000021,2023-12-26,CUST-0483,T-Shirt,Clothing,1,105.26
ORD-000022,2022-08-08,CUST-4418,Hat,Clothing,10,64.63
ORD-000023,2022-04-10,CUST-3532,Plant Pot,Home & Garden,7,150.77
ORD-000024,2022-04-11,CUST-0497,Tennis Racket,Sports,2,44.81
ORD-000025,2022-10-13,CUST-3790,T-Shirt,Clothing,8,99.84
ORD-000026,2023-07-08,CUST-0121,Smartphone,Electronics,3,639.3
ORD-000027,2022-06-18,CUST-3105,Monitor,Electronics,5,1393.45
ORD-000028,2023-07-24,CUST-3987,Jeans,Clothing,5,37.86
ORD-000029,2022-11-18,CUST-0469,Tablet,Electronics,8,779.13
ORD-000030,2022-03-24,CUST-1523,Tablet,Electronics,2,1029.06
ORD-000031,2022-09-10,CUST-4743,Action Figure,Toys,10,15.74
ORD-000032,2022-09-25,CUST-1674,Blender,Home & Garden,5,130.82
ORD-000033,2022-03-16,CUST-0077,Water Bottle,Sports,10,149.45
ORD-000034,2022-12-24,CUST-0564,Jacket,Clothing,5,31.56
ORD-000035,2023-11-01,CUST-4334,Tablet,Electronics,5,1401.05
ORD-000036,2022-04-20,CUST-4533,Jacket,Clothing,5,78.51
ORD-000037,2022-09-28,CUST-4141,Tennis Racket,Sports,1,
ORD-000038,2022-05-14,CUST-2146,Sneakers,Clothing,9,89.1
ORD-000039,2023-12-09,CUST-1222,Action Figure,Toys,6,50.78
ORD-000040,2022-02-10,CUST-2932,Jeans,Clothing,2,52.14
ORD-000041,2022-06-08,CUST-1940,Jeans,Clothing,7,17.6
ORD-000042,2023-11-17,CUST-2033,Blender,Home & Garden,2,127.11
ORD-000043,2023-04-17,CUST-2865,Blender,Home & Garden,4,26.63
ORD-000044,2022-10-13,CUST-2877,Doll,Toys,9,33.18
ORD-000045,2023-08-18,CUST-2175,Laptop,Electronics,10,680.12
ORD-000046,2023-06-08,CUST-0948,Water Bottle,Sports,-4,45.66
ORD-000047,2023-07-06,CUST-1615,Plant Pot,Home & Garden,2,285.68
ORD-000048,2022-05-08,CUST-2461,Lego Set,Toys,7,32.83
ORD-000049,2023-11-12,CUST-3106,Hat,Clothing,-10,46.6
ORD-000050,2023-03-17,CUST-4752,Lego Set,Toys,8,40.93
ORD-000051,2022-06-23,CUST-0695,Lamp,Home & Garden,10,113.85
ORD-000052,2022-08-19,CUST-1632,T-Shirt,Clothing,1,40.71
ORD-000053,2023-03-01,CUST-4716,Sneakers,Clothing,8,56.96
ORD-000054,2022-04-20,CUST-3483,Jeans,Clothing,9,63.78
ORD-000055,2022-05-17,CUST-3807,Puzzle,Toys,10,32.21
ORD-000056,2023-06-01,CUST-3496,Doll,Toys,3,62.06
ORD-000057,2023-10-15,CUST-2272,Doll,Toys,4,29.22
ORD-000058,2022-11-24,CUST-4425,Smartphone,Electronics,3,385.33
ORD-000059,2023-02-22,CUST-2711,Doll,Toys,7,14.36
ORD-000060,2023-12-14,CUST-0161,Doll,Toys,8,10.41
ORD-000061,2023-03-06,CUST-4410,Puzzle,Toys,4,44.18
ORD-000062,2023-11-16,CUST-3313,Sneakers,Clothing,3,117.98
ORD-000063,2023-11-10,CUST-0223,Monitor,Electronics,3,1306.93
ORD-000064,2023-04-11,CUST-2678,Plant Pot,Home & Garden,5,230.56
ORD-000065,2022-01-20,CUST-4419,Headphones,Electronics,4,992.71
ORD-000066,2022-09-11,CUST-1634,Tablet,Electronics,3,395.89
ORD-000067,2023-04-22,CUST-2100,Blender,Home & Garden,10,190.03
ORD-000068,2022-11-15,CUST-0886,Action Figure,Toys,5,50.31
ORD-000069,2022-07-23,CUST-0623,Board Game,Toys,2,58.8
ORD-000070,2023-08-03,CUST-0337,Lamp,Home & Garden,7,
ORD-000071,2023-03-07,CUST-4016,Monitor,Electronics,6,971.6
ORD-000072,2023-06-19,CUST-2213,Puzzle,Toys,8,42.54
ORD-000073,2022-09-09,CUST-0710,Plant Pot,Home & Garden,4,230.13
ORD-000074,2023-05-22,CUST-2663,Sneakers,Clothing,4,52.26
ORD-000075,2022-10-10,CUST-4554,Tablet,Electronics,4,174.14
ORD-000076,2023-12-09,CUST-3901,Basketball,Sports,1,23.03
ORD-000077,2023-08-19,CUST-3024,Water Bottle,Sports,9,58.13
ORD-000078,2023-04-10,CUST-2220,Vacuum Cleaner,Home & Garden,4,53.78
ORD-000079,2023-12-08,CUST-1517,Jeans,Clothing,8,44.03
ORD-000080,2022-04-13,,Blender,Home & Garden,6,70.24
ORD-000081,2022-02-25,,Blender,Home & Garden,8,48.72
ORD-000082,2022-12-15,CUST-1511,Headphones,Electronics,8,215.43
ORD-000083,2023-12-04,CUST-0440,Jeans,Clothing,10,114.66
ORD-000084,2023-03-03,CUST-4967,Puzzle,Toys,4,64.3
ORD-000085,2023-08-26,CUST-3513,Lamp,Home & Garden,10,36.86
ORD-000086,2023-10-03,CUST-1729,Coffee Maker,Home & Garden,3,87.16
ORD-000087,2023-12-07,CUST-4865,Tennis Racket,Sports,1,42.41
ORD-000088,2023-12-05,CUST-1913,Lamp,Home & Garden,4,139.04
ORD-000089,2022-05-26,CUST-0585,Smartphone,Electronics,5,912.81
ORD-000090,2023-04-25,CUST-2492,Tennis Racket,Sports,9,85.6
ORD-000091,2022-11-27,CUST-4946,Coffee Maker,Home & Garden,2,84.1
ORD-000092,2022-01-22,CUST-2208,Action Figure,Toys,3,42.94
ORD-000093,2023-08-23,CUST-3571,Yoga Mat,Sports,8,58.71
ORD-000094,2022-12-04,CUST-3373,Tennis Racket,Sports,7,123.9
ORD-000095,2022-11-28,CUST-0950,Water Bottle,Sports,1,102.07
ORD-000096,2023-01-06,CUST-4084,Yoga Mat,Sports,4,47.39
ORD-000097,2023-05-12,CUST-0995,Tablet,Electronics,4,1079.19
ORD-000098,2022-08-19,CUST-0930,Yoga Mat,Sports,3,79.77
ORD-000099,2023-05-10,CUST-3869,Sneakers,Clothing,9,30.19
ORD-000100,2022-05-20,CUST-0572,Plant Pot,Home & Garden,6,281.59
